"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000004777",35.0198502523804,-0.1106063722324,0.382850278914687,-0.288902420408182,0.772656051454785,0.99973703262644
"ENSG00000004779",3732.49905850121,0.0403819458356977,0.242733699725692,0.16636316210453,0.867871162312437,0.99973703262644
"ENSG00000004799",289.622178322529,-0.80033614505921,0.465887333475577,-1.71787487564558,0.0858194404077093,0.99973703262644
"ENSG00000004838",43.8566582631947,0.110624475057074,0.353239838040659,0.31317100492029,0.754150745939088,0.99973703262644
"ENSG00000004864",1368.67217441338,0.101395982405121,0.122041275711185,0.830833517711484,0.406067684971698,0.99973703262644
"ENSG00000004866",3624.52241202141,0.145209315646856,0.0896271179950466,1.62014933532596,0.10520020174617,0.99973703262644
"ENSG00000004897",52887.6825376353,0.172396499485254,0.203789463668409,0.845953938844284,0.397578440394525,0.99973703262644
"ENSG00000004961",6090.00997280426,0.256592709577343,0.122787238571662,2.08973434505239,0.0366416699920216,0.99973703262644
"ENSG00000004975",530.753627059761,-0.0654411065178271,0.242312064930947,-0.270069534244927,0.78710675965071,0.99973703262644
"ENSG00000005007",2453.52601664209,-0.0266768227865236,0.276516740905918,-0.0964745306165752,0.923143701179859,0.99973703262644
"ENSG00000005020",12002.6345501808,0.0135401382119079,0.119053577803281,0.113731468316568,0.909450666254379,0.99973703262644
"ENSG00000005022",21921.4071806675,0.0270956713390927,0.15575468929021,0.173963759695265,0.861893943472436,0.99973703262644
"ENSG00000005059",4024.98378313904,0.0718378742170948,0.164705564170254,0.436159364615254,0.662721108217343,0.99973703262644
"ENSG00000005073",1325.48200270933,-0.0406097269288565,0.165221253745194,-0.24578996956097,0.805844822054067,0.99973703262644
"ENSG00000005075",1344.15367902869,0.0456538190426449,0.112778829367646,0.40480841394282,0.685618343556485,0.99973703262644
"ENSG00000005100",2659.35907289015,0.153570043834245,0.103740288172009,1.48033176445022,0.138784730220846,0.99973703262644
"ENSG00000005102",65.4813897547417,-0.0239209807224132,0.753273836178665,-0.0317560222770561,0.974666618071019,0.99973703262644
"ENSG00000005108",462.940664099291,-0.447029698304699,0.281767056854818,-1.58652222617718,0.112620894335608,0.99973703262644
"ENSG00000005156",1870.87157878319,-0.0544342683394996,0.196405905779808,-0.277151891758928,0.781663477926126,0.99973703262644
"ENSG00000005175",11662.9757597801,0.236780106160395,0.221369597343882,1.06961438698637,0.284792916600722,0.99973703262644
"ENSG00000005187",424.580709128411,-0.119943528024822,0.201592290887967,-0.594980728164251,0.551856353186057,0.99973703262644
"ENSG00000005189",961.191922057186,0.0636380275254368,0.156048350491239,0.407809677738372,0.683413408007959,0.99973703262644
"ENSG00000005194",2217.29231849067,-0.112974457446011,0.124525996136768,-0.907235926239292,0.364282049148062,0.99973703262644
"ENSG00000005206",425.924990612463,0.0687144804609858,0.281800627177302,0.24384076483177,0.807354147270989,0.99973703262644
"ENSG00000005238",1156.86672986914,0.127589548221689,0.227336419118933,0.561236728880378,0.574636167605114,0.99973703262644
"ENSG00000005243",5921.56315211196,0.133294238674655,0.26291618203156,0.506983775759587,0.61216620240923,0.99973703262644
"ENSG00000005249",2855.35676042783,-0.214129608190539,0.176041669780602,-1.2163575161347,0.223848760227589,0.99973703262644
"ENSG00000005302",3386.99777547664,0.00168928326339227,0.0556835663836608,0.0303371959287428,0.975798132153855,0.99973703262644
"ENSG00000005339",14357.1576810136,-0.0574906186525912,0.0662120635600959,-0.868280122404147,0.385241001222665,0.99973703262644
"ENSG00000005379",161.590216568349,-0.130005463024438,0.286734274601805,-0.453400498440516,0.650260377603289,0.99973703262644
"ENSG00000005436",5864.06751423035,-0.185124981397835,0.239461932206305,-0.773087311591319,0.439470709798375,0.99973703262644
"ENSG00000005448",602.751934497838,-0.0459384414327637,0.209772833640417,-0.218991375744627,0.826656765882252,0.99973703262644
"ENSG00000005469",4191.85233905956,0.20295141400051,0.0864785685085149,2.34684058143871,0.0189333536510433,0.99973703262644
"ENSG00000005471",963.061144354262,0.189893593364163,0.208589191962443,0.910371201775179,0.36262677990945,0.99973703262644
"ENSG00000005483",33353.8576721282,0.00427898069344814,0.234088218124207,0.0182793509546803,0.985416000266279,0.99973703262644
"ENSG00000005486",1230.93074112125,-0.205186781652029,0.242344563172568,-0.846673756431334,0.397176990429516,0.99973703262644
"ENSG00000005700",49578.7175281441,0.193767104061562,0.210302757467604,0.921372151249186,0.356856163207475,0.99973703262644
"ENSG00000005801",6884.33198350671,-0.0249655181691714,0.244465942228125,-0.102122684009189,0.918659295907124,0.99973703262644
"ENSG00000005810",48806.5288233148,0.198421663635243,0.119419118869853,1.66155692248483,0.0966016466986573,0.99973703262644
"ENSG00000005812",17226.1984147533,0.0426643534359306,0.146359470180394,0.291503880024607,0.770665976839081,0.99973703262644
"ENSG00000005882",1922.05108960023,0.0708924187036585,0.138956369767723,0.510177538619937,0.609927086753128,0.99973703262644
"ENSG00000005884",3639.80370653342,0.0477092837060108,0.297749590572868,0.160232911199705,0.872697604932141,0.99973703262644
"ENSG00000005889",24814.4910825222,0.184754620975642,0.1020397071766,1.81061496634724,0.0702004738416192,0.99973703262644
"ENSG00000005893",40966.7968881687,0.0195047176089316,0.148947372688307,0.130950397156369,0.895814546734894,0.99973703262644
"ENSG00000005955",32364.0976017653,0.0668241237502569,0.0854987857347494,0.781579798777159,0.434461562792749,0.99973703262644
"ENSG00000006007",17832.7472049122,0.0952260881245671,0.0750238949352431,1.26927678450661,0.20434236338264,0.99973703262644
"ENSG00000006015",247.712866764327,0.0535652877933901,0.290559962335954,0.18435192296541,0.853737383239007,0.99973703262644
"ENSG00000006016",440.082679418984,0.113249130333075,0.327487374744117,0.345812202444635,0.729483854084655,0.99973703262644
"ENSG00000006025",120.990610976843,-0.164851724332612,0.269307074664667,-0.612132913841497,0.540449822635238,0.99973703262644
"ENSG00000006042",7600.94825122859,0.0252528889016715,0.128766075248042,0.196114456801038,0.844520581086197,0.99973703262644
"ENSG00000006062",302.167253432642,-0.44350112608113,0.243849232184138,-1.81875137398928,0.0689493700068749,0.99973703262644
"ENSG00000006114",8555.42166718796,0.108654064002195,0.0708486143475156,1.53360887863299,0.125125902740218,0.99973703262644
"ENSG00000006118",567.415807811002,-0.305712240760754,0.326143404145442,-0.937355276467353,0.348575838096962,0.99973703262644
"ENSG00000006125",46183.4975616625,0.117017138393659,0.0849275825809424,1.37784609943575,0.168250809507146,0.99973703262644
"ENSG00000006194",3049.68021032615,-0.0814275962885979,0.0707685823731563,-1.15061788095793,0.249889473486056,0.99973703262644
"ENSG00000006282",3841.64012266248,0.169759083707388,0.260955440488954,0.650529007516796,0.515350570758226,0.99973703262644
"ENSG00000006283",129.46353554271,-0.535179689143335,0.404230845734246,-1.32394569783816,0.185521079827484,0.99973703262644
"ENSG00000006327",1698.04236632134,0.194032703691159,0.498666261668182,0.389103331438675,0.697199709167771,0.99973703262644
"ENSG00000006432",107.038627533418,-1.15400223160651,0.489182405872249,-2.35904279825608,0.0183221425424941,0.99973703262644
"ENSG00000006451",23188.9356197639,0.114815035290192,0.150524314339663,0.762767369470345,0.445602144558938,0.99973703262644
"ENSG00000006453",1046.15903052795,0.12974524414673,0.16932263079253,0.766260502446989,0.443521314894061,0.99973703262644
"ENSG00000006459",5416.63881514012,-0.0723247441741185,0.195511446009245,-0.369925882348077,0.711437715969409,0.99973703262644
"ENSG00000006468",17212.1572846544,-0.253492377949063,0.323155553156854,-0.784428351834703,0.432788807752509,0.99973703262644
"ENSG00000006530",3634.84599780309,0.0399285998855759,0.0662552145475589,0.602648412781376,0.546742606584256,0.99973703262644
"ENSG00000006534",2457.64450934802,0.0784830131282376,0.239104818315886,0.328236853113317,0.742732585249675,0.99973703262644
"ENSG00000006576",10096.0943931247,0.0426146365373047,0.260776798563796,0.163414217721825,0.870192309230541,0.99973703262644
"ENSG00000006606",40.977101710778,0.074934949640047,0.434531129863762,0.172450129553529,0.863083664756929,0.99973703262644
"ENSG00000006607",6967.41154405513,0.100095207574536,0.115661924018854,0.865411918603569,0.386812741607706,0.99973703262644
"ENSG00000006625",4755.29498884231,-0.258250731201581,0.232660195380679,-1.10999103554878,0.267002889433076,0.99973703262644
"ENSG00000006634",4101.52051121716,-0.0622770709370051,0.296032435741214,-0.210372457264941,0.833376987565345,0.99973703262644
"ENSG00000006638",77.4020372900887,0.080731742763748,0.321439805647121,0.251156643780378,0.801693003599898,0.99973703262644
"ENSG00000006652",9588.01479719903,0.116068325257811,0.134577371377046,0.862465391247849,0.388431469947036,0.99973703262644
"ENSG00000006695",809.157684878944,0.0287462789610417,0.0967624194244597,0.29708102724202,0.766404648903194,0.99973703262644
